definiendum,,tenses,sanskrit,english1,english2,english-others,definition-tibetan,definition-english,divisions-tibetan,divisions-english,synonyms-tibetan,synonyms-english,comments,example-tibetan1,example-tibetan2,example-tibetan3,example-tibetan4,example-tibetan5,example-tibetan6,example-english1,example-english2,example-english3,example-english4,example-english5,example-english6
sdug bsngal gyis 'jigs pa dgag pa ,སྡུག་བསྔལ་གྱིས་འཇིགས་པ་དགག་པ་,,{MSA}duḥkha-trāsa-pratiṣedha,eliminate the fear of suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal gyis yod gzir cing ,སྡུག་བསྔལ་གྱིས་ཡོད་གཟིར་ཅིང་,,{C}duḥkh'ārta,,,{C}distressed,,,,,,,,,,,,,,,,,,,
sdug bsngal gyur ba ,སྡུག་བསྔལ་གྱུར་བ་,,{C}kṛcchra-prāpta,miserable; suffering,,{C}in trouble,,,,,,,,,,,,,,,,,,,
sdug bsngal chung ngu myong ,སྡུག་བསྔལ་ཆུང་ངུ་མྱོང་,,{MSA}tanu-duḥkhopasaṃvitti,experience little suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal chos bzod ,སྡུག་བསྔལ་ཆོས་བཟོད་,bzod  bzod  bzod  bzod ,duḥkha-dharma-kṣānti,forbearance with respect to the doctrine of suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal 'jigs pa med ,སྡུག་བསྔལ་འཇིགས་པ་མེད་,,{MSA}duḥkhabhītaḥ (na ca-),fearless with respect to suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal nyid gsum ,སྡུག་བསྔལ་ཉིད་གསུམ་,,{MSA}tiṣr ... duḥkhatā; {MSA}duḥkhatā,three sufferings,,,,,,,,,,,,,,,,,,,,,
sdug bsngal rtog pa ,སྡུག་བསྔལ་རྟོག་པ་,,{MSA}duḥkha-kalpa,conceive of suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal mthar bya ba ,སྡུག་བསྔལ་མཐར་བྱ་བ་,,{MSA}anta-kriyā (duḥkhasya-),bring suffering to an end (?),,,,,,,,,,,,,,,,,,,,,
sdug bsngal mthong ,སྡུག་བསྔལ་མཐོང་,,{MSA}duḥkha-darśana,view suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal dag gis spa mi 'gong ba'i phyir ,སྡུག་བསྔལ་དག་གིས་སྤ་མི་འགོང་བའི་ཕྱིར་,,{MSA}duḥkhair aviṣādāt,because of not being poisoned by suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal dang kun 'byung ba dang 'gog pa dang lam gyi bden pa ,སྡུག་བསྔལ་དང་ཀུན་འབྱུང་བ་དང་འགོག་པ་དང་ལམ་གྱི་བདེན་པ་,'byung  'byung  byung  byung ,{MSA}duḥkha-samudaya-nirodha-mārga-satya,"true suffering, arising, cessation, and path; the truths of suffering, arising, cessation, and path",,,,,,,,,,,,,,,,,,,,,
sdug bsngal dang ni don ,སྡུག་བསྔལ་དང་ནི་དོན་,,{MSA}duḥkhārtha,object of suffering; meaning of suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal dang bral ba ,སྡུག་བསྔལ་དང་བྲལ་བ་,,{MSA}duḥkha-viyoga; {MSA}duḥkhāpagama,free from suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal dang yid mi bde ba ,སྡུག་བསྔལ་དང་ཡིད་མི་བདེ་བ་,,{MSA}duḥkha ... daurmanasya,miserable and unhappy in mind,,,,,,,,,,,,,,,,,,,,,
sdug bsngal dwang len gyi bzod pa ,སྡུག་བསྔལ་དྭང་ལེན་གྱི་བཟོད་པ་,bzod  bzod  bzod  bzod ,,patience/forbearance/tolerance/endurance which is voluntary assumption of suffering,,,,,,,,,Comment: There are three types of patience: (1) ; (2) patience/forbearance which is voluntary assumption of suffering (sdug bsngal dwang len gyi bzod pa); (3) patience/forbearance of the definite realization of doctrine (chos la nges rtogs kyi bzod pa).,,,,,,,,,,,,
sdug bsngal bdag nyid ,སྡུག་བསྔལ་བདག་ཉིད་,,{MSA}duḥkhātmaka,essence of suffering; suffering essence,,,,,,,,,,,,,,,,,,,,,
sdug bsngal bden pa ,སྡུག་བསྔལ་བདེན་པ་,,{LCh}duḥkha-satya,true sufferings; truth of suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal ba ,སྡུག་བསྔལ་བ་,,"{MSA,MV}duḥkha; {N}duḥkhita; {MSA}duḥkhin",miserable{N}; suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal bar 'gyur te ,སྡུག་བསྔལ་བར་འགྱུར་ཏེ་,'gyur  'gyurd  gyur  gyurd ,{C}duḥkha,,,{C}suffering; discomfort,,,,,,,,,,,,,,,,,,,
sdug bsngal byung ba ,སྡུག་བསྔལ་བྱུང་བ་,'byung  'byung  byung  byung ,{MSA}duḥkha-samudbhava,arising of suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal 'bab pa ,སྡུག་བསྔལ་འབབ་པ་,'bab  'babs  bab  babs ,{MSA}duḥkhāpattipāta,descent of suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal 'byung ba ,སྡུག་བསྔལ་འབྱུང་བ་,'byung  'byung  byung  byung ,{MSA}duḥkhotpāda,arising of suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal ma yin bde ba yang ma yin ,སྡུག་བསྔལ་མ་ཡིན་བདེ་བ་ཡང་མ་ཡིན་,,aduḥkhāsukhavedanā,neither pleasure nor suffering; neutral feeling,,,,,,,,,,,,,,,,,,,,,
sdug bsngal mang po ,སྡུག་བསྔལ་མང་པོ་,,{C}duḥkha-bhūyiṣṭha,much suffering,,{C}what abounds in suffering,,,,,,,,,,,,,,,,,,,
sdug bsngal mang ba ,སྡུག་བསྔལ་མང་བ་,,{C}vedanā-bahula,much suffering,,{C}has many pains,,,,,,,,,,,,,,,,,,,
sdug bsngal mi rtog pa ,སྡུག་བསྔལ་མི་རྟོག་པ་,,{MSA}duḥkha-kalpaḥ (na ca-),not impute suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal myong ,སྡུག་བསྔལ་མྱོང་,,{MSA}duḥkhopasaṃvitti,experience suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal mtshungs pa nyid ,སྡུག་བསྔལ་མཚུངས་པ་ཉིད་,,{MSA}duḥkha-samatā,sameness of suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal zad par 'dod pa ,སྡུག་བསྔལ་ཟད་པར་འདོད་པ་,,{MSA}duḥkha-kṣayākāṅkṣaṇa,desire the extinction of suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal bzod pa ,སྡུག་བསྔལ་བཟོད་པ་,bzod  bzod  bzod  bzod ,{MSA}duḥkha-kṣamaṇa,forbearance with respect to suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal rang bzhin ,སྡུག་བསྔལ་རང་བཞིན་,,{MSA}duḥkha-prakṛti,nature of suffering; natural suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal rab tu zhi ba ,སྡུག་བསྔལ་རབ་ཏུ་ཞི་བ་,,{MSA}duḥkha-praśamana,thoroughly pacify suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal las rnam par grol ba ,སྡུག་བསྔལ་ལས་རྣམ་པར་གྲོལ་བ་,'grol  'grold  grol  grold ,{MSA}duḥkhād vimuktaḥ,completely liberated from suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal sel pa ,སྡུག་བསྔལ་སེལ་པ་,bsal  sel  bsald  seld ,{C}duḥkha-saṃjñāna,eliminate/eradicate/remove/clear away/avoid/exclude suffering,,,,,,,,,,,,,,,,,,,,,
sdug bsngal sel ba ,སྡུག་བསྔལ་སེལ་བ་,bsal  sel  bsald  seld ,{C}duḥkha-apoha; {MSA}duḥkhāpaha,eliminate/eradicate/remove/clear away/avoid/exclude suffering,,{C}removal of suffering,,,,,,,,,,,,,,,,,,,
sdug pa ,སྡུག་པ་,,"{LCh}priya; {C,MSA}śubha {C}(=praśasta); {C}śubhatā; {MSA}iṣṭa",attractive; nice; beautiful,,{C}dear; kind; beloved; lovely; wholesome; pleasant; merit; pleasantness,,,,,,,,,,,,,,,,,,,
sdug pa dang mi sdug pa ,སྡུག་པ་དང་མི་སྡུག་པ་,,priyāpriya,beauty and ugliness,,,,,,,,,,,,,,,,,,,,,
sdug pa'i 'bras bu 'dod pa ,སྡུག་པའི་འབྲས་བུ་འདོད་པ་,,{MSA}iṣṭa-phalecchā,desire an attractive result/fruit,,,,,,,,,,,,,,,,,,,,,
sdug mi bsngal ba ,སྡུག་མི་བསྔལ་བ་,,{MSA}na duḥkhyate,non-suffering; not suffering,,,,,,,,,,,,,,,,,,,,,
sdud ,སྡུད་,bsdu  sdud  bsdus  sdus ,{C}ādadati; {MSA}(upa √guh): upaguhya,to collect; include; abridge,,{C}assemble,,,,,,,,,,,,,,,,,,,
sdud pa ,སྡུད་པ་,bsdu  sdud  bsdus  sdus ,"{C,MSA}saṃgraha; {MSA}saṃgrāhaka;{MSA,MV} karṣaṇa",collect; collection; include; inclusion; compendium,,{C}comprehension; assembling; comprehended; attraction; comprising; that which comprehends; complete removal of; are summed up in; combine; comprised; combination; summary; means of conversion,,,,,,,,,,,,,,,,,,,
sdud pa'i rgyu ,སྡུད་པའི་རྒྱུ་,bsdu  sdud  bsdus  sdus ,{MV}ākarṣaṇa-hetu,cause of collection; cause of abridgement,,,,,,,,,,,,,,,,,,,,,
sdud par bgyid ,སྡུད་པར་བགྱིད་,bsdu  sdud  bsdus  sdus ,{C}saṃkṣipati,collect; include; abridge,,{C}assemble; compress,,,,,,,,,,,,,,,,,,,
sdud par 'gyur ba ,སྡུད་པར་འགྱུར་བ་,bsdu  sdud  bsdus  sdus ,{MSA}(√grah): grahīṣyante,collect; include; abridge,,,,,,,,,,,,,,,,,,,,,
sdud par mi bgyid ,སྡུད་པར་མི་བགྱིད་,bsdu  sdud  bsdus  sdus ,{C}saṃkṣipati,not collect; not include; non-abridged,,{C}assemble; compress,,,,,,,,,,,,,,,,,,,
sdus ,སྡུས་,bsdu/ sdud/ bsdus/ sdus/,,to collect; include; abridge,,,,,,,,,,,,,,,,,,,,,
sdus bsngal ,སྡུས་བསྔལ་,,duḥkha,suffering,,,,,,,,,,,,,,,,,,,,,
sde ,སྡེ་,,,"(1) set; school; faction; sect{BJ 46.2}(2) continuative particle indicating there is more to come in the sentence, sometimes setting off appositives and usually indicating there is another clause to the sentence",,,,,,,,,sde is not a continuative! [de te ste are the lhag bcas gsum],,,,,,,,,,,,
sde bdun ,སྡེ་བདུན་,,,Dharmakīrti's Seven Treatises on Valid Cognition,,,,,dbye ba/  1 'brel pa brtag pa'i rab tu byed pa/ 2 tshad ma rnam par nges pa/ 3 tshad ma rnam 'grel gyi tshig  le'ur byas pa/ 4 rigs pa'i thigs pa zhes bya ba'i rab  tu byed pa/ 5 gtan tshigs kyi thigs pa zhes bya ba rab  tu byed pa/ 6 rgyud gzhan grub pa zhes bya ba'i rab tu byed  pa/ 7 rtsod pa'i rigs pa zhes bya ba'i rab tu byed pa/,"Divisions: (1) Analysis of Relations ('brel pa brtag pa'i rab tu byed pa, saṃbanda-parīkṣāvṛtti); (2) Ascertainment of Valid Cognition (tshad ma rnam par nges pa, pramāṇa-viniścaya); (3) Commentary on (Dignāga's) 'Compendium of Valid Cognition' (tshad ma rnam 'grel gyi tshig le'ur byas pa, pramāṇa-vārttika-kārikā); (4) Drop of Reasoning (rigs pa'i thigs pa zhes bya ba'i rab tu byed pa, nyāya-bindu-prakaraṇa); (5) Drop of Reasons (gtan tshigs kyi thigs pa zhes bya ba rab tu byed pa, hetu-bindu-nāma-prakaraṇa); (6) Proof of Other Continuums (rgyud gzhan grub pa zhes bya ba'i rab tu byed pa, saṃtānāntara-siddhi-nāma-prakaraṇa); (7) Reasoning for Debate (rtsod pa'i rigs pa zhes bya ba'i rab tu byed pa, vādanyāya-nāma-prakaraṇa)",,,"{PH} Jeffrey, there are too many entries in the Divisions field",,,,,,,,,,,,
sde bdun mdo dang bcas pa'i dgongs 'grel tshad ma rigs gter gyi 'grel ba'i rnam bshad rigs lam gsal ba'i nyi ma ,སྡེ་བདུན་མདོ་དང་བཅས་པའི་དགོངས་འགྲེལ་ཚད་མ་རིགས་གཏེར་གྱི་འགྲེལ་བའི་རྣམ་བཤད་རིགས་ལམ་གསལ་བའི་ཉི་མ་,bkral  'grel  bkrald  'greld ,,,,"{GD:845} Lo Khen-chen's (glo bo mkhan chen bsod nams lhun grub) Sun Illuminating the Path of Reasoning, an Extensive Explanation which is a Commentary to [Sa-paṇ's] Treasury of Valid Cognition"" [and] a Commentary on the Thought of [Dharmakīrti's] Seven Treatises and [Dignāga's] Sūtra. Reprint of Der-ge edition. Manduwalla(India): Ngorpa Center, 1985.""",,,,,,,,,,,,,,,,,,,
sde bdun mdo dang bcas pa'i dgongs 'grel tshad ma rigs gter gyi 'grel ba rigs lam rab gsal ,སྡེ་བདུན་མདོ་དང་བཅས་པའི་དགོངས་འགྲེལ་ཚད་མ་རིགས་གཏེར་གྱི་འགྲེལ་བ་རིགས་ལམ་རབ་གསལ་,bkral  'grel  bkrald  'greld ,,,,"{GD:848} Tuk-je-b#el-sang's (thugs rje dpal bzang) Illumination of the Path of Reasoning, Commentary on [Sa-paṇ's] Treasury of Valid Cognition"" which Explains the Thought of [Dharmakīrti's] Seven Texts together with [Dignāga's] Sūtra. Reprint of Der-ge edition. Rajpur (India): Sakya Center. nd.""",,,,,,,,,,,,,,,,,,,
sde snod ,སྡེ་སྣོད་,,piṭaka ,basket; scriptural collection,,,,,,,,,,,,,,,,,,,,,
sde snod gsum ,སྡེ་སྣོད་གསུམ་,,{MSA}piṭaka-traya; tripiṭaka,"the three baskets [sūtra, abhidharma, and vinaya]; three scriptural collections",,,,,,,,,,,,,,,,,,,,,
sde pa ,སྡེ་པ་,,,school of thought; group; set; sectarian{BJ 50.6},,,,,,,,,,,,,,,,,,,,,
sde tshan ,སྡེ་ཚན་,,,group; meaning unit,,,,,,,,,,,,,,,,,,,,,
sder rtse ,སྡེར་རྩེ་,,,plate,,,,,,,,,,,,,,,,,,,,,
sdong ,སྡོང་,,{C} druma,,,{C}tree,,,,,,,,,,,,,,,,,,,
sdong dum mes thag pa la'ang ,སྡོང་དུམ་མེས་ཐག་པ་ལའང་,,{C} dagdha-sthūṇāyām,,,{C}burned at the stake,,,,,,,,,,,,,,,,,,,
sdong po ,སྡོང་པོ་,,{C}stamba (=viṭapam); gaṇḍa; {MSA}skandha,tree trunk,,{C}tree,,,,,,,,,,,,,,,,,,,
sdong bu ,སྡོང་བུ་,,stamba (=viṭapam); {C}gaṇḍa,tree trunk,,{C}tree; boil; trunk; tree,,,,,,,,,,,,,,,,,,,
sdod ,སྡོད་,bsdad/ sdod/ bsdad/ sdod/,,to subsist; abide; stay; reside; sit; stop; dwell ,,,,,,,,,Check tenses  {T},,,,,,,,,,,,
sdod pa ,སྡོད་པ་,bsdad/ sdod/ bsdad/ sdod/,{C}tiṣṭhati,to subsist; abide; stay; reside; sit; stop; dwell,,{C}stands; abides; stand up; remain; sit; stay; be at ease,,,,,,,See previous record re: tenses  {T},,,,,,,,,,,,
sdod lugs ,སྡོད་ལུགས་,,,mode of subsistence{BJ 55.4}; status; way of subsistence,,{GD:384} mode of existence ,,,,,mtshan nyid/  rang bzhin/  gnas lugs/  yin lugs/  shis lugs/  yin tshul/  gnas tshul/  yin tshod/  gnas tshod/,,,,,,,,,,,,,,
sdon po lo ma ,སྡོན་པོ་ལོ་མ་,,{C}tṛṇa-pattra,,,{C}stalks and leaves (and branches),,,,,,,,,,,,,,,,,,,
sdom ,སྡོམ་,bsdam/ sdom/ bsdams/ sdoms/,{MSA}uddāna; {MSA}uddāna-śloka,bind; tie; fasten; vow; obligation; bring together; collect ,,,,,,,,,,,,,,,,,,,,,
sdom pa ,སྡོམ་པ་,,"{LCh,C,L}saṃvara; {MSA}saṃvṛtti; {C}saṃyama; {C}saṃcara; {C}saṃlekha; {MSA}yang dag par sdom pa = saṃyama",vow; bind; tie; fasten; obligation; bring together; collect; discipline,,{C}restraint(s); restrain; self-mastery; engagement; (austere) penance,,,,,,,"compare: dam tshig, pledge",,,,,,,,,,,,
sdom pa 'dzin par byed ,སྡོམ་པ་འཛིན་པར་བྱེད་,gzung  'dzin  bzung  zungs ,{C}saṃvaram āpadyate,,,{C}effects restraint,,,,,,,,,,,,,,,,,,,
sdom pa la gnas pa ,སྡོམ་པ་ལ་གནས་པ་,,{MSA}saṃvara-stha,abide in a vow; abide in restraint,,,,,,,,,,,,,,,,,,,,,
sdom pa'i tshul khrims ,སྡོམ་པའི་ཚུལ་ཁྲིམས་,,{MSA}saṃvara-śīla,ethics of restraint,,,,,,,,,,,,,,,,,,,,,
sdom pa'i rang bzhin ,སྡོམ་པའི་རང་བཞིན་,,{MSA}yama-svabhāva,restrained nature; nature of restraint,,,,,,,,,,,,,,,,,,,,,
sdom pa'i sems ,སྡོམ་པའི་སེམས་,,{MSA}saṃkalana-citta,restrained mind,,,,,,,,,,,,,,,,,,,,,
sdom par 'dzin ,སྡོམ་པར་འཛིན་,gzung  'dzin  bzung  zungs ,{C}saṃvarāya pratipadyate,,,{C}promises restraint,,,,,,,,,,,,,,,,,,,
sdom byed ,སྡོམ་བྱེད་,,{C} saṃvarati,,,{C}restrains himself,,,,,,,,,,,,,,,,,,,
sdom ma yin ,སྡོམ་མ་ཡིན་,,{C}asaṃvaro,,,{C}no restraint; non-restraint,,,,,,,,,,,,,,,,,,,
sdom min ,སྡོམ་མིན་,,{C}asaṃvaro; asaṃvara,bad discipline,,{C}no restraint; non-restraint,,,,,,,,,,,,,,,,,,,
sdoms ,སྡོམས་,bsdam/ sdom/ bsdams/ sdoms/,,bring together; collect; bind; tie; fasten vow; obligation ,,,,,,,,,,,,,,,,,,,,,
sdoms rtags ,སྡོམས་རྟགས་,,,combined reason,,,,,,,,,,,,,,,,,,,,,
sdoms pa ,སྡོམས་པ་,,,bring together; collect{BJ 33.5}; bind; tie; fasten vow; obligation ,,,,,,,,,,,,,,,,,,,,,
brda ,བརྡ་,,"saṃketa{C, L,MSA}",terminology; term,,{C}date; agreed symbol; conventional symbol; verbal expresion; written sign; verbal sign; {GD:423} appellation ,,,,,,,"compare: tha snyad, designation, convention; and: sgra, sound, term",,,,,,,,,,,,
brda dang sgra ,བརྡ་དང་སྒྲ་,,{C}saṃketa-ruta,terms and sounds,,{C}voices and sounds,,,,,,,,,,,,,,,,,,,
brda 'dogs pa'i gzhi ,བརྡ་འདོགས་པའི་གཞི་,gdags  'dogs  btags/brtags  thogs ,,basis of designation by verbal conventions{BJ 77.2},,,,,,,,,,,,,,,,,,,,,
brda sprod pa ,བརྡ་སྤྲོད་པ་,sprad  sprod  sprad  sprod ,,expound; make distinctions of terms; explain words,,,,,,,,,,,,,,,,,,,,,
brda byas pa ,བརྡ་བྱས་པ་,,,referentiality,,,,,,,,,,,,,,,,,,,,,
brda dbang ,བརྡ་དབང་,,,force of terminology,,,,,,,,,,,,,,,,,,,,,
brda sbyar pa ,བརྡ་སྦྱར་པ་,sbyar  sbyor  sbyard  sbyord,,connecting the terminology [to the object for the first time],,,,,,,,,,,,,,,,,,,,,
brda sbyar ba'i gzhi ,བརྡ་སྦྱར་བའི་གཞི་,sbyar  sbyor  sbyard  sbyord,,,,{GD:432} [not the object of naming but only] the basis on which the name was introduced ,,,,,,,,,,,,,,,,,,,
brda sbyor ba'i chos ,བརྡ་སྦྱོར་བའི་ཆོས་,sbyar  sbyor  sbyard  sbyord ,,,,{GD:431} characteristic [through which] the name is given ,,,,,,,,,,,,,,,,,,,
brda la 'dris pa'i rjes su zhugs pa ,བརྡ་ལ་འདྲིས་པའི་རྗེས་སུ་ཞུགས་པ་,zhug  'jug  zhugs  zhugs ,{MV}saṃketa-saṃstavānupraviṣṭa,engage in acquaintance with terminology,,,,,,,,,,,,,,,,,,,,,
brda la byang ,བརྡ་ལ་བྱང་,'byang  'byangs  byang  'byongs ,,trained in language,,,,,,,,,,,,,,,,,,,,,
brda la byang ba'i skyes bu ,བརྡ་ལ་བྱང་བའི་སྐྱེས་བུ་,'byang  'byangs  byang  'byongs ,,a languaged person; a person trained in language,,,,,,,,,"Comment: This refers to someone who knows language, as opposed to the very young, and so forth.",,,,,,,,,,,,
brda la ma byung ba'i byis pa ,བརྡ་ལ་མ་བྱུང་བའི་བྱིས་པ་,'byung  'byung  byung  byung ,,a child not versed in terminology,,,,,,,,,,,,,,,,,,,,,
brda las byung ba'i sems bskyed pa ,བརྡ་ལས་བྱུང་བའི་སེམས་བསྐྱེད་པ་,bskyed  skyed  bskyed  skyed ,{MSA}sāṃketika-cittotpāda,produce a mind that is versed in terminology,,,,,,,,,,,,,,,,,,,,,
brdad ba ,བརྡད་བ་,,,rub,,,,,,,,,,,,,,,,,,,,,
brdab pa ,བརྡབ་པ་,brdab/ rdeb bam rdab/ brdabs/ rdebs/,,to hit; to clap,,,,,,,,,,,,,,,,,,,,,
brda' sbyor ,བརྡའ་སྦྱོར་,sbyar  sbyor  sbyard  sbyord ,,terminological connection,,,,,,,,,,,,,,,,,,,,,
brdar ,བརྡར་,brdard/ rdor ram rdar/ brdar/ rdord/,{L}saṃketa; nikaṣa,terminology; term; rubbing{BJ 11.2}; rubbed,,,,,,,,,Thumi (p.134) gives the meaning: to sharpen or to rub  {T},,,,,,,,,,,,
brdar btags ,བརྡར་བཏགས་,gdags  'dogs  btags/brtags  thogs ,{MSA}saṃketa,impute terminology,,,,,,,,,,,,,,,,,,,,,
brdung ,བརྡུང་,brdungs/ rdung / brdung / rdungs/,,to beat,,,,,,,,,,,,,,,,,,,,,
brdung ba ,བརྡུང་བ་,,{C}parāhantu,to beat,,,,,,,,,,,,,,,,,,,,,
brdung zhing 'tshe ba ,བརྡུང་ཞིང་འཚེ་བ་,,{C}kuṇḍana-snedana (=svedana?),,,{C}poundings and torments,,,,,,,,,,,,,,,,,,,
brdul ,བརྡུལ་,,rajaḥ,dust,,,,,,,,,,,,,,,,,,,,,
brdeg 'cha' ,བརྡེག་འཆའ་,brdeg rdeg brdegs/ rdegs/ tang bca'/ 'cha'/ bcas/ 'cha'/chos,,[beat-make]; torment; to slip; fall,,,,,,,,,Check tenses {T},,,,,,,,,,,,
brdeg pa ,བརྡེག་པ་,,"{C}prahāra; {C,MSA}tāḍanā; {L}hana",beat,,{C}blow; belaboring with; blows; strike,,,,,,,,,,,,,,,,,,,
brdos ,བརྡོས་,,,swollen; swell,,,,,,,,,,,,,,,,,,,,,
brdos bcas ,བརྡོས་བཅས་,,,[swollen-having]; swollen; bursting; bubbly,,,,,,,,,,,,,,,,,,,,,
bsdad ,བསྡད་,bsdad/ sdud/ bsdad/ sdod/,,to subsist; abide; stay; reside; sit; stop; dwell ,,,,,,,,,See under  sdod   @ tenses {T},,,,,,,,,,,,
bsdams ,བསྡམས་,bsdam/ sdom/ bsdams/ sdoms/,{MSA}saṃvṛta; {MSA}susaṃvṛta,restrained; bound; bring together; collect; bind; tie; fasten vow; obligation        ,,,,,,,,,,,,,,,,,,,,,
bsdams pa sgo ,བསྡམས་པ་སྒོ་,,{MSA}gupta-dvāratva,door of restraint; restraining door,,,,,,,,,,,,,,,,,,,,,
bsdams par 'gyur ,བསྡམས་པར་འགྱུར་,,{MSA}saṃvṛta; {MSA}susaṃvṛta,restrain; bind,,,,,,,,,,,,,,,,,,,,,
bsdigs pa ,བསྡིགས་པ་,bsdigs/ sdig bsdig sdigs/,jita,conquer; subdue,,,,,,,,,,,,,,,,,,,,,
bsdu ,བསྡུ་,bsdu/ sdud/ bsdus/ sdus/,{MV}saṃgrāhya; {MSA}saṃgrahaṇa; {MV}(√kṛ): kriyate,collect; conclude; gather; include; abridge,,,,,,,,,Check tense {T},,,,,,,,,,,,
bsdu ba ,བསྡུ་བ་,bsdud/ sdud/ bsdu/ sdus/  rnam par gtan la dbab pa bsdu ba/,"{C,MSA,MV}saṃgraha; {C}saṃgraha-vastu; {C}saṃkṣipya; {C}samāsa; {L}piṇḍa; saṃgrahaṇī","collect; conclude; gather; include; abridge; Asaṅga's Compendium of Ascertainments (nirnaya-saṃgraha); ""the Compendium""",,{C}comprehension; assembling; comprehended; attraction; comprising; that which comprehends; complete removal of; are summed up in; combine; comprised; combination; summary; means of conversion; composed; collected; means of conversion; briefly; object,,,,,,,See previous re: Tense  {T},,,,,,,,,,,,
bsdu ba dman pa dang 'bring ba dang mchog ,བསྡུ་བ་དམན་པ་དང་འབྲིང་བ་དང་མཆོག་,,{MSA}hīna-madhyottama ... saṃgraha,"the small, middling, and great collections",,,,,,,,,,,,,,,,,,,,,
bsdu ba'i dngos po ,བསྡུ་བའི་དངོས་པོ་,,"{C,MSA}saṃgraha-vastu",collected things,,{C}means of conversion,,,,,,,,,,,,,,,,,,,
bsdu bar bya ba ,བསྡུ་བར་བྱ་བ་,,{C}saṃgrahītavya,,,{C}should be attracted,,,,,,,,,,,,,,,,,,,
bsdu bar tshigs su bcad pa ,བསྡུ་བར་ཚིགས་སུ་བཅད་པ་,,{MSA}saṃgraha-śloka,collected verses,,,,,,,,,,,,,,,,,,,,,
bsdud ,བསྡུད་,,,collect; conclude; gather,,,,,,,,,,,,,,,,,,,,,
bsdums ,བསྡུམས་,bsdum  sdum  bsdum/bsdums  sdums ,,put together; bring together; make agree; conciliate,,,,,,,,,,,,,,,,,,,,,
bsdus ,བསྡུས་,bsdu  sdud  bsdus  sdus ,(saṃ √kṣip): {MSA}saṃkṣipya; {MV}abhisaṃkṣip-; {MV}abhisaṃkṣepa; {C}paripiṇḍayati; {C}pratisaṃhṛtavān,collect; conclude; gather; include; abridge,,{C}heaps up; withdrew,,,,,,,,,,,,,,,,,,,
bsdus grwa ,བསྡུས་གྲྭ་,bsdu  sdud  bsdus  sdus ,,Collected Topics [on prime cognition],,,,,,,tshad ma'i bsdus grwa ,,,,,,,,,,,,,,
bsdus 'grel ,བསྡུས་འགྲེལ་,bsdu  sdud  bsdus  sdus ,,condensed commentary,,,,,,,,,,,,,,,,,,,,,
bsdus dang rgyas pa'i sgo nas ,བསྡུས་དང་རྒྱས་པའི་སྒོ་ནས་,bsdu  sdud  bsdus  sdus ,{C}samāsa-vyāsataḥ,,,{C}briefly and in detail,,,,,,,,,,,,,,,,,,,
bsdus nas ,བསྡུས་ནས་,bsdu  sdud  bsdus  sdus ,{C}paripiṇḍyati,having collected/abridged/abbreviated/brought together,,{C}heaps up,,,,,,,,,,,,,,,,,,,
bsdus pa ,བསྡུས་པ་,bsdu  sdud  bsdus  sdus ,"{MSA}samuccaya; {C}saṃkṣipta; {C}saṃkṣepa; {C,MSA,MV}saṃgraha; {C,MSA,MV 3.22def.}saṃgṛhīta; {C}pratisaṃhṛte",collect; compose; gather; include; abridge,,{C}composed; collected; collectedness; condensed; embodied in; comprised; incorporated; comprehended; which was withdrawn,,,,,,,,,,,,,,,,,,,
na ,ན་,,,"(1) to; in; as; at [accusative, dative, locative particle](2) if; when [non-case usages](3) be sick; be ill; in pain [for the verb, na ba]",,,,,,,,,,,,,,,,,,,,,
na ba ,ན་བ་,,{C}vyādhita,be sick; ill; in pain,,,,,,,,,,,,,,,,,,,,,
na ba rnams la ,ན་བ་རྣམས་ལ་,,{C}vyādhita,,,{C}sick,,,,,,,,,,,,,,,,,,,
na ba tsha can ,ན་བ་ཚ་ཅན་,,{C}ūṣara,pain; ache; illness; sickness,,{C}saline,,,,,,,,,,,,,,,,,,,
na bar gyur la ,ན་བར་གྱུར་ལ་,,{C}gilāni-kāya (=glāna); {C}gilāni-kārya,,,{C}fall ill,,,,,,,,,,,,,,,,,,,
